timestamp_iso,t_ms,src_ip,src_port,direction,payload
2026-05-12T08:36:19.849,6633.874,10.0.0.10,8888,CC->XPB,HB;SEQ=76;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=22267;E=0;E_CODE=00;RPM=0:39\n
2026-05-12T08:36:20.099,6883.905,10.0.0.10,8888,CC->XPB,HB;SEQ=77;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=22517;E=0;E_CODE=00;RPM=0:38\n
2026-05-12T08:36:20.349,7133.920,10.0.0.10,8888,CC->XPB,HB;SEQ=78;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=22767;E=0;E_CODE=00;RPM=0:32\n
2026-05-12T08:36:20.599,7383.886,10.0.0.10,8888,CC->XPB,HB;SEQ=79;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=23017;E=0;E_CODE=00;RPM=0:32\n
2026-05-12T08:36:20.720,7504.847,10.0.0.11,8888,XPB->CC,STAT;SEQ=24;OUT=000;SUMP=20;SEAL=24:29\n
2026-05-12T08:36:20.849,7633.892,10.0.0.10,8888,CC->XPB,HB;SEQ=80;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=23267;E=0;E_CODE=00;RPM=0:31\n
2026-05-12T08:36:21.099,7883.894,10.0.0.10,8888,CC->XPB,HB;SEQ=81;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=23517;E=0;E_CODE=00;RPM=0:30\n
2026-05-12T08:36:21.349,8133.894,10.0.0.10,8888,CC->XPB,HB;SEQ=82;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=23767;E=0;E_CODE=00;RPM=0:36\n
2026-05-12T08:36:21.599,8383.895,10.0.0.10,8888,CC->XPB,HB;SEQ=83;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=24017;E=0;E_CODE=00;RPM=0:30\n
2026-05-12T08:36:21.724,8508.668,10.0.0.11,8888,XPB->CC,STAT;SEQ=25;OUT=000;SUMP=20;SEAL=24:28\n
2026-05-12T08:36:21.849,8633.904,10.0.0.10,8888,CC->XPB,HB;SEQ=84;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=24267;E=0;E_CODE=00;RPM=0:32\n
2026-05-12T08:36:22.099,8883.905,10.0.0.10,8888,CC->XPB,HB;SEQ=85;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=24517;E=0;E_CODE=00;RPM=0:33\n
2026-05-12T08:36:22.349,9133.903,10.0.0.10,8888,CC->XPB,HB;SEQ=86;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=24767;E=0;E_CODE=00;RPM=0:35\n
2026-05-12T08:36:22.599,9383.892,10.0.0.10,8888,CC->XPB,HB;SEQ=87;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=25017;E=0;E_CODE=00;RPM=0:35\n
2026-05-12T08:36:22.727,9511.648,10.0.0.11,8888,XPB->CC,STAT;SEQ=26;OUT=000;SUMP=20;SEAL=24:2B\n
2026-05-12T08:36:22.849,9633.905,10.0.0.10,8888,CC->XPB,HB;SEQ=88;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=25267;E=0;E_CODE=00;RPM=0:3F\n
2026-05-12T08:36:23.099,9883.880,10.0.0.10,8888,CC->XPB,HB;SEQ=89;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=25517;E=0;E_CODE=00;RPM=0:3E\n
2026-05-12T08:36:23.349,10134.043,10.0.0.10,8888,CC->XPB,HB;SEQ=90;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=25767;E=0;E_CODE=00;RPM=0:33\n
2026-05-12T08:36:23.599,10384.094,10.0.0.10,8888,CC->XPB,HB;SEQ=91;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=26017;E=0;E_CODE=00;RPM=0:31\n
2026-05-12T08:36:23.731,10515.360,10.0.0.11,8888,XPB->CC,STAT;SEQ=27;OUT=000;SUMP=20;SEAL=24:2A\n
2026-05-12T08:36:23.849,10634.124,10.0.0.10,8888,CC->XPB,HB;SEQ=92;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=26267;E=0;E_CODE=00;RPM=0:37\n
2026-05-12T08:36:24.099,10884.160,10.0.0.10,8888,CC->XPB,HB;SEQ=93;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=26517;E=0;E_CODE=00;RPM=0:36\n
2026-05-12T08:36:24.350,11134.187,10.0.0.10,8888,CC->XPB,HB;SEQ=94;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=26767;E=0;E_CODE=00;RPM=0:34\n
