# rig_trace started 2026-05-12T15:20:26.945
[rig_trace] start 2026-05-12T15:20:26.945  cc=COM8 xpb=- udp=8888
[+   2231.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2231.7 ms] [CC ] STATE -> E-STOP
[+   2231.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2231.7 ms] [CC ] STATE -> E-STOP
[+   2231.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2231.7 ms] [CC ] STATE -> E-STOP
[+   2231.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2231.7 ms] [CC ] STATE -> E-STOP
[+   2434.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2434.3 ms] [CC ] STATE -> E-STOP
[+   2434.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2434.3 ms] [CC ] STATE -> E-STOP
[+   2434.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2434.3 ms] [CC ] STATE -> E-STOP
[+   2434.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2434.3 ms] [CC ] STATE -> E-STOP
[+   2434.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2434.3 ms] [CC ] STATE -> E-STOP
[+   2636.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2636.6 ms] [CC ] STATE -> E-STOP
[+   2636.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2636.6 ms] [CC ] STATE -> E-STOP
[+   2636.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2636.6 ms] [CC ] STATE -> E-STOP
[+   2636.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2636.7 ms] [CC ] STATE -> E-STOP
[+   2636.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2636.7 ms] [CC ] STATE -> E-STOP
[+   2838.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2838.3 ms] [CC ] STATE -> E-STOP
[+   2838.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2838.3 ms] [CC ] STATE -> E-STOP
[+   2838.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2838.3 ms] [CC ] STATE -> E-STOP
[+   2838.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2838.3 ms] [CC ] STATE -> E-STOP
[+   2838.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   2838.3 ms] [CC ] STATE -> E-STOP
[+   3040.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3040.4 ms] [CC ] STATE -> E-STOP
[+   3040.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3040.4 ms] [CC ] STATE -> E-STOP
[+   3040.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3040.4 ms] [CC ] STATE -> E-STOP
[+   3040.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3040.4 ms] [CC ] STATE -> E-STOP
[+   3040.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3040.5 ms] [CC ] STATE -> E-STOP
[+   3242.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3242.8 ms] [CC ] STATE -> E-STOP
[+   3242.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3242.9 ms] [CC ] STATE -> E-STOP
[+   3242.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3242.9 ms] [CC ] STATE -> E-STOP
[+   3242.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3242.9 ms] [CC ] STATE -> E-STOP
[+   3242.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3242.9 ms] [CC ] STATE -> E-STOP
[+   3445.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3445.6 ms] [CC ] STATE -> E-STOP
[+   3445.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3445.6 ms] [CC ] STATE -> E-STOP
[+   3445.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3445.6 ms] [CC ] STATE -> E-STOP
[+   3445.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3445.6 ms] [CC ] STATE -> E-STOP
[+   3445.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3445.6 ms] [CC ] STATE -> E-STOP
[+   3647.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3647.9 ms] [CC ] STATE -> E-STOP
[+   3647.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3647.9 ms] [CC ] STATE -> E-STOP
[+   3648.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3648.0 ms] [CC ] STATE -> E-STOP
[+   3648.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3648.0 ms] [CC ] STATE -> E-STOP
[+   3648.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3648.0 ms] [CC ] STATE -> E-STOP
[+   3849.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3849.5 ms] [CC ] STATE -> E-STOP
[+   3849.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3849.5 ms] [CC ] STATE -> E-STOP
[+   3849.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3849.5 ms] [CC ] STATE -> E-STOP
[+   3849.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3849.5 ms] [CC ] STATE -> E-STOP
[+   3849.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   3849.5 ms] [CC ] STATE -> E-STOP
[+   4060.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4060.3 ms] [CC ] STATE -> E-STOP
[+   4060.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4060.3 ms] [CC ] STATE -> E-STOP
[+   4060.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4060.3 ms] [CC ] STATE -> E-STOP
[+   4060.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4060.3 ms] [CC ] STATE -> E-STOP
[+   4060.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4060.3 ms] [CC ] STATE -> E-STOP
[+   4264.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4264.0 ms] [CC ] STATE -> E-STOP
[+   4264.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4264.0 ms] [CC ] STATE -> E-STOP
[+   4264.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4264.0 ms] [CC ] STATE -> E-STOP
[+   4264.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4264.0 ms] [CC ] STATE -> E-STOP
[+   4264.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4264.0 ms] [CC ] STATE -> E-STOP
[+   4464.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4464.6 ms] [CC ] STATE -> E-STOP
[+   4464.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4464.6 ms] [CC ] STATE -> E-STOP
[+   4464.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4464.6 ms] [CC ] STATE -> E-STOP
[+   4464.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4464.6 ms] [CC ] STATE -> E-STOP
[+   4464.6 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4464.6 ms] [CC ] STATE -> E-STOP
[+   4665.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4665.1 ms] [CC ] STATE -> E-STOP
[+   4665.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4665.1 ms] [CC ] STATE -> E-STOP
[+   4665.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4665.1 ms] [CC ] STATE -> E-STOP
[+   4665.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4665.1 ms] [CC ] STATE -> E-STOP
[+   4665.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4665.1 ms] [CC ] STATE -> E-STOP
[+   4870.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4870.1 ms] [CC ] STATE -> E-STOP
[+   4870.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4870.1 ms] [CC ] STATE -> E-STOP
[+   4870.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4870.1 ms] [CC ] STATE -> E-STOP
[+   4870.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4870.1 ms] [CC ] STATE -> E-STOP
[+   4870.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   4870.2 ms] [CC ] STATE -> E-STOP
[+   5072.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5072.3 ms] [CC ] STATE -> E-STOP
[+   5072.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5072.3 ms] [CC ] STATE -> E-STOP
[+   5072.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5072.3 ms] [CC ] STATE -> E-STOP
[+   5072.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5072.3 ms] [CC ] STATE -> E-STOP
[+   5072.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5072.3 ms] [CC ] STATE -> E-STOP
[+   5274.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5274.5 ms] [CC ] STATE -> E-STOP
[+   5274.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5274.5 ms] [CC ] STATE -> E-STOP
[+   5274.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5274.5 ms] [CC ] STATE -> E-STOP
[+   5274.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5274.5 ms] [CC ] STATE -> E-STOP
[+   5274.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5274.5 ms] [CC ] STATE -> E-STOP
[+   5477.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5477.1 ms] [CC ] STATE -> E-STOP
[+   5477.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5477.1 ms] [CC ] STATE -> E-STOP
[+   5477.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5477.1 ms] [CC ] STATE -> E-STOP
[+   5477.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5477.1 ms] [CC ] STATE -> E-STOP
[+   5477.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5477.2 ms] [CC ] STATE -> E-STOP
[+   5679.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5679.3 ms] [CC ] STATE -> E-STOP
[+   5679.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5679.3 ms] [CC ] STATE -> E-STOP
[+   5679.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5679.3 ms] [CC ] STATE -> E-STOP
[+   5679.3 ms] [CC ] E-STOP: XPB stale (mask expired)
